month,num
1,112516
2,127920
3,137104
4,129110
5,124063
6,124594
7,128786
8,124342
9,107946
10,108578
11,98081
12,101980
13,125274
14,91029
15,127977
16,115159
17,116189
18,109129
19,112103
20,112034
21,99505
22,101422
23,106719
24,101442
25,113082
26,101596
27,130123
28,116966
29,120047
30,113596
31,116533
32,120962
33,106063
34,111623
35,113861
36,107892
